,Unnamed: 0,vender,url,product,description,image,price,live,quantity,prices
11,11,KBDFans,https://kbdfans.com/collections/switches/products/middle-night-linear-switches?_pos=1&_fid=1c00d4e42&_ss=c,Haimu Middle night Linear Switches,"Specs Linear Factory Lubed 5pins, PCB mount Total travel: 3.5±0.3mm Pre-travel: 2±0.5mm Operating force: 50±5gf Initial force: 35gf Min Bottom out force: 60gf Max Spring: 18mm two-stage spring Switch housing: POM/Blue(314) Stem: UPE/Black Light guide column: PMMA/Foggy matte/Honeycomb Mechanical life: 100 million Elect",http://cdn.shopify.com/s/files/1/1473/3902/products/13_754a1577-bd69-4fe0-a195-8f8f0ff18260_1200x1200.jpg?v=1677221339,$4.30,True,10 switches per pack,
12,12,KBDFans,https://kbdfans.com/collections/switches/products/cherry-mx-rgb-silent-pink-10pcs?_pos=54&_fid=1c00d4e42&_ss=c,Cherry MX RGB Pink Silent linear Switches,Specs Linear 45 cN operating force 1.9 mm pre travel 3.7 mm total travel Plate mount 3pin MX stem REVIEW : Cherry MX Silent Red/Pink - Sound Tests,http://cdn.shopify.com/s/files/1/1473/3902/products/RGB_1_1200x1200.jpg?v=1651651084,$5.00,True,10 switches per pack,
13,13,KBDFans,https://kbdfans.com/collections/switches/products/gateron-milky-housing-yellow-linear-switches,Gateron Milky housing Yellow Linear Switches,Specs Yellow Linear 50 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem  TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Danish Japanese S,http://cdn.shopify.com/s/files/1/1473/3902/products/1_ba339ca5-3679-4302-88de-1d93c5a6447a_1200x1200.jpg?v=1652668039,$1.25,True,10 switches per pack,
14,14,KBDFans,https://kbdfans.com/products/pbtfans-retro-dark-lights,PBTfans Retro Dark Lights,"Update Pre-order kits will be shipped in March(2023-2-24) production completed, will be released soon(2023-2-10) Production will be completed in mid-February (2023-02-02) Working on the mold customization (2022-10-14) Will do the sample after the final design file is confirmed (2022-09-27) Specs Material: PBT material ",http://cdn.shopify.com/s/files/1/1473/3902/products/1-Base_Nov_1200x1200.jpg?v=1677032102,$99.00,True,,
15,15,KBDFans,https://kbdfans.com/collections/switches/products/emotoys-little-daisy-silent-linear-switch?_pos=3&_fid=1c00d4e42&_ss=c,EMOTOYS Little Daisy Silent Linear Switch,Note: Air Fresheners are blended with the POM during the cooling process. The switches will provide a nature daisy smell. Specs Brand: EMOTOYS Style: Linear Volume: Silent Mount: 5-pin Total travel: 3.8mm Pre-travel: 1.5-2.0mm Actuation force: 50±5gf Initial force: 45gf Min Pressure point force: 65gf Max Mechanical lif,http://cdn.shopify.com/s/files/1/1473/3902/products/4_959e2893-e2fa-461d-824d-291bfca3706e_1200x1200.png?v=1675745107,$18.00,True,35 switches per pack,
16,16,KBDFans,https://kbdfans.com/collections/switches/products/gateron-snowstorm-switches?_pos=40&_fid=1c00d4e42&_ss=c,Gateron blizzard Tactile switches,"Sound Test Details Tactile Pre-lubed switches Actuation：60gf Pretravel: 2.0±0.6 mm Total travel：3.4 mm Max Operation Force: 60±15gf Pom bottom housing, PA66 top housing PCB mount 5pin MX stem Sold as one pack of 10 switches Specification https://drive.google.com/file/d/1Pp2ozZUWx1Ru_jZDHHfDeaE86GdaV4T4/view?usp=sharing",http://cdn.shopify.com/s/files/1/1473/3902/products/b8421501ceee8ed8defa49d79fc692df_d2938f86-6288-4e4e-bc7b-ba70fc8fd97a_1200x1200.jpg?v=1646017129,$6.50,True,10 switches per pack,
17,17,KBDFans,https://kbdfans.com/collections/switches/products/gateron-blue-switches?_pos=28&_fid=1c00d4e42&_ss=c,GATERON Blue Tactile Switches,Specs  Blue Tactile and clicky 60 cN operating force 2.3 mm pre travel 4.0 mm total travel Plate mount 3pin/PCB mount 5pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_bff8e894-450f-41d5-a248-065b79c6e5cf_1200x1200.jpg?v=1648609795,$1.00,True,10 switches per pack,
18,18,KBDFans,https://kbdfans.com/collections/switches/products/gateron-ink-v2-black-switches?_pos=32&_fid=1c00d4e42&_ss=c,GATERON INK V2 Black Linear Switches,Ink Black Linear 60 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_26463b7c-7a99-4c84-bb03-83d420625cae_1200x1200.jpg?v=1646033760,$7.50,True,10 switches per pack,
19,19,KBDFans,https://kbdfans.com/collections/switches/products/pls-do-not-delete-it-switch-option?_pos=45&_fid=1c00d4e42&_ss=c&variant=39529536946315,SWITCHES *30,A pack contains 30 switches  ,http://cdn.shopify.com/s/files/1/1473/3902/products/1_e461ad36-0448-40a4-ae26-528545baae06_1200x1200.jpg?v=1635390273,$3.00,True,,
20,20,KBDFans,https://kbdfans.com/collections/switches/products/gateron-milky-caps-v2-switches-3pin-35-pcs?_pos=44&_fid=1c00d4e42&_ss=c,Gateron Caps Milky Yellow Linear Switches,SPECS Type: Linear Operating force: 50 cN  3 pins Pre-travel: 2.0 mm Total travel: 4.0 mm  Mount: Plate mount 3pin Stem: MX style Friendly Reminds 35 per unit come with a Polycarbonate switch testing base. Download specification documents: Click TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese C,http://cdn.shopify.com/s/files/1/1473/3902/products/b8421501ceee8ed8defa49d79fc692df_fff2d6e2-99d1-4019-a190-54e070032ce7_1200x1200.jpg?v=1646017342,$12.00,True,35 switches per pack,
21,21,KBDFans,https://kbdfans.com/collections/switches/products/ttc-golden-red-v3-switches-10pcs?_pos=47&_fid=1c00d4e42&_ss=c,TTC Golden Red V3 Linear Switches,It is sold as one pack of 10 switches.      ,http://cdn.shopify.com/s/files/1/1473/3902/products/1_6e2d5339-eb22-4ef8-bead-60f81f78ce8b_1200x1200.jpg?v=1614072983,$4.50,True,10 switches per pack,
22,22,KBDFans,https://kbdfans.com/collections/switches/products/zealios-tealios-zilents?_pos=53&_fid=1c00d4e42&_ss=c&variant=28744897364016,ZEAL Zilents V2 Tactile switches,"SPECS Manufactory: Gateron  Brand: Zeal PC Zilents v2- 62g - Tactile (Blue),Mx switch, Bottom out:62g, PCB mount 5-pin, POM stem, PC housing Zilents v2- 65g - Tactile (Blue),Mx switch, Bottom out:65g, PCB mount 5-pin, POM stem, PC housing Zilents v2- 67g - Tactile (Blue),Mx switch, Bottom out:67g, PCB mount 5-pin, POM ",http://cdn.shopify.com/s/files/1/1473/3902/products/1_f9f1d00b-b1bc-4162-8460-b83b40432eee_1200x1200.jpg?v=1650872104,$13.00,True,10 switches per pack,
23,23,KBDFans,https://kbdfans.com/collections/switches/products/tecsee-eminence-switch?_pos=2&_fid=1c00d4e42&_ss=c,Eminence Switch,Specs Brand: Tecsee Style: Linear Mount: 5-pin Stems: POM Top housing: HPE Bottom housing: Imported MIX nylon Pre-Travel: 2mm Total travel: 3.5mm Initial force: 45gf Min Pressure point force: 60gf Max Factory slightly Lubed MX-compatible Spring: 22mm double gold-plated spring,http://cdn.shopify.com/s/files/1/1473/3902/products/1_9b19f412-adc2-4cfa-a5d8-6fb88d3e4229_1200x1200.jpg?v=1676277533,$5.90,True,10 switches per pack,
24,24,KBDFans,https://kbdfans.com/products/og60-retro-keyboard,OG60 retro keyboard,"OG60 KEYBOARD Inspiration The prototype Cherry G80-3077SAU is one of my favorite mechanical keyboards, and I love the great design. We recreated this 60% layout keyboard kit with reference to the shape of the G80-3077SAU. Design &amp; Colors OG60 is a retro design and electrostatic coating process. It uses high-quality",http://cdn.shopify.com/s/files/1/1473/3902/products/3_eae262dc-5bb5-4ebc-adff-81b5f14ab53d_1200x1200.jpg?v=1659000661,$240.00,True,,
25,25,KBDFans,https://kbdfans.com/collections/switches/products/ttc-light-cloud-v2-linear-switches?_pos=5&_fid=1c00d4e42&_ss=c,TTC Light Cloud V2 Linear Switches,"Specs Linear 5pins, PCB mount Total travel: 3.5±0.4mm Pre-travel: 1.2±0.4mm Operating force: 45±10gf Bottom out force: 58±10gf Durability: 80 million Spring: Gold-plated two-stage spring Top housing: PA Nylon Bottom housing: PA Nylon Stem: POM",http://cdn.shopify.com/s/files/1/1473/3902/products/1_468db451-28fb-496f-a2ea-f04bdc2ae26d_1200x1200.jpg?v=1668057312,$7.10,True,10 switches per pack,
26,26,KBDFans,https://kbdfans.com/collections/switches/products/kailh-box-crystal-royal-tactile-switches?_pos=10&_fid=1c00d4e42&_ss=c,Kailh BOX Crystal Royal Tactile Switches,BOX Crystal Switches. BOX switches are IP56 waterproof/dustproof. Only SMD compatible. Not compatible with other LEDs. PCB Mount BOX Crystal Royal  Tactile 3.6mm travel 40g Actuation 70g Bottom Out PCB mount 5-pin  Spec sheet coming soon. Please refer to their non Crystal counterparts' spec sheets for sizing info. Crys,http://cdn.shopify.com/s/files/1/1473/3902/products/1_5baca162-14b4-4508-9c21-36eb1b478153_1200x1200.jpg?v=1652660968,$5.50,True,10 switches per pack,
27,27,KBDFans,https://kbdfans.com/collections/switches/products/cherry-rgb-silver-linear-switches?_pos=19&_fid=1c00d4e42&_ss=c,Cherry RGB Silver Linear Switches,SPECS Linear 45 cN operating force 1.2 mm pre travel 3.4 mm total travel Plate mount 3pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/RGB_1_e8c70983-ae1d-49cc-8f27-0a07cf165b72_1200x1200.jpg?v=1651652795,$3.80,True,10 switches per pack,
28,28,KBDFans,https://kbdfans.com/collections/switches/products/cherry-mx-ergo-clear-switches?_pos=4&_fid=1c00d4e42&_ss=c,CHERRY MX Ergo Clear Tactile Switches,"Specs MX1A-H1NN Tactile 3-pin, Plate mount Clear stem and Black housing Durability: &gt; 50 million actuations Contact configuration: Single-pole contact Actuator travel: 4 mm Pretravel: 2 mm Initial force: 35 cN Actuation force: 40 cN Pressure point force: 55 cN Lighting: Prepared for use with 2-Pin LED (THT, through ",http://cdn.shopify.com/s/files/1/1473/3902/products/1_ba6c1fe1-bc5b-474e-a729-f79e1c1b4489_1200x1200.jpg?v=1673254274,$6.00,True,10 switches per pack,
29,29,KBDFans,https://kbdfans.com/collections/switches/products/switches-70?_pos=50&_fid=1c00d4e42&_ss=c&variant=40951801610379,Switches x 70,A pack contains 70 switches  ,http://cdn.shopify.com/s/files/1/1473/3902/products/1_a8eee6a7-f0a2-42c3-bcb3-64eb37cf6a26_1200x1200.jpg?v=1598057103,$90.00,True,,
30,30,KBDFans,https://kbdfans.com/collections/switches/products/switches-x-100?_pos=52&_fid=1c00d4e42&_ss=c&variant=28965692440624,Switches x 100,Friendly remind: 100 switches per pack,http://cdn.shopify.com/s/files/1/1473/3902/products/1_17ed014c-47fc-48e2-ab1b-6cdbeff150ad_1200x1200.jpg?v=1570108788,$30.00,True,100 switches per pack,
31,31,KBDFans,https://kbdfans.com/collections/switches/products/dz60-cnc-brass-60-plate,DZ60 CNC Brass 60% Plate A,Plate-A（left shift is 2U）It's not compatible with DZ60RGB v2/ DZ60RGB-ANSI PCB  TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Danish Japanese Spanish Dutch Klingon Swe,http://cdn.shopify.com/s/files/1/1473/3902/products/9_ec621e2e-de01-4d6c-b133-f49d59006008_1200x1200.jpg?v=1667437957,$9.90,True,,
32,32,KBDFans,https://kbdfans.com/products/pbtfans-dolch,PBTfans Dolch,Update Start the selling. (2022-10-19) Expected to complete production on October 15 (2022-09-27) Available in other Official Store Aliexpress store: Click Shopee.Philippines: Click Shopee.Singapore: Click Shopee.Malaysia: Click Shopee.Thailand: Click SPECS Material: PBT material Profile: Cherry profile Production Meth,http://cdn.shopify.com/s/files/1/1473/3902/products/base-1_1200x1200.jpg?v=1666078080,$80.00,True,,
33,33,KBDFans,https://kbdfans.com/collections/switches/products/ttc-gold-brown-v3-switches?_pos=51&_fid=1c00d4e42&_ss=c,TTC Gold Brown V3 Tactile switches, Specs Tactile 55 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_d581eb7f-a7e6-43ec-9ecb-3fbd4e04276d_1200x1200.jpg?v=1646015875,$5.00,True,10 switches per pack,
34,34,KBDFans,https://kbdfans.com/collections/switches/products/ttc-upgraded-gold-pink-linear-switches?_pos=30&_fid=1c00d4e42&_ss=c,TTC Upgraded Gold Pink Linear Switches,"10 switches per pack Specs Switch type: linear Operating force:37±5gf Pre-travel:2.0±0.3mm Total travel:4.0±0.3mm Duration:100million keystrokes Switching voltage:2~12VDC Switching current:10μA~10mADC Contact resistance:500mΩMax Insulation resistance:100MΩMin Add anti-oxidation coating by the silver plating process, to",http://cdn.shopify.com/s/files/1/1473/3902/products/5_117c3790-f8ab-4fd9-81b8-85ee74742a19_1200x1200.jpg?v=1650614263,$5.30,True,10 switches per pack,
35,35,KBDFans,https://kbdfans.com/collections/switches/products/gateron-yellow-switches?_pos=27&_fid=1c00d4e42&_ss=c,GATERON Yellow Linear Switches,Specs  Yellow Linear 50 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin/PCB mount 5pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_ddca7206-8d7e-404e-9405-73d0bd660697_1200x1200.jpg?v=1648610838,$1.00,True,10 switches per pack,
36,36,KBDFans,https://kbdfans.com/collections/switches/products/gateron-ink-v2-silent-black-linear-switches?_pos=31&_fid=1c00d4e42&_ss=c,GATERON INK V2 Silent Black Linear Switches,Silent black Ink Linear 60 cN operating force 2.0 mm pre travel 4.0 mm total travel PCB mount 5pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_e9a6f0ea-3a46-4d5b-abd5-fa7b27b0a1fd_1200x1200.jpg?v=1646035620,$8.50,True,10 switches per pack,
37,37,KBDFans,https://kbdfans.com/products/gift-card,Gift card,"Build your own mechanical keyboard, starting here!",http://cdn.shopify.com/s/files/1/1473/3902/products/giftcard_image1_1200x1200.png?v=1584436855,$10.00,True,,
38,38,KBDFans,https://kbdfans.com/products/tofu60-2-0,Tofu60 2.0,"Tofu60 2.0 Tofu60 was born in 2017 and has sold more than 40,000 units. It's a lot of people's first entry-level custom mechanical keyboard.Tofu60 2.0 is a new beginning, the new changes will bring a new typing experience, and the new surface coating process can also bring more color possibilities. 60% Layout Programma",http://cdn.shopify.com/s/files/1/1473/3902/products/zdL4k5e_1200x1200.jpg?v=1673488193,$159.00,True,,
39,39,KBDFans,https://kbdfans.com/collections/switches/products/pls-do-not-delete-switches-option?_pos=49&_fid=1c00d4e42&_ss=c&variant=34158116176011,Switches x 90,Switches *90,http://cdn.shopify.com/s/files/1/1473/3902/products/1_8d9155fa-2b5a-40e1-83fe-a72bbf7997d5_1200x1200.jpg?v=1598057388,$9.00,True,,
40,40,KBDFans,https://kbdfans.com/collections/akuma/products/akuma-80-keyboard,[Limited edition] Akuma 80% Keyboard Kit,"Project Progress The laser number is being printed, and most of the cases have arrived at the warehouse (2023-02-06) Case:preparing the material; PCB: in stock; Plate:in production (2022-10-26) AkumaIn other words, Devil. Designed By Mighty Setup Group Start Date: Sep 22nd at 7:00 PM PST (Pacific standard time). This G",http://cdn.shopify.com/s/files/1/1473/3902/products/20_ddb3c7d0-8e5a-4dfc-a0b8-48a8e9063e83_1200x1200.jpg?v=1655773770,$0.00,True,,
41,41,KBDFans,https://kbdfans.com/collections/switches/products/kbdfans-gateron-silent-black-linear-switches,Gateron Silent black Linear Switches,Specs Linear 60 cN operating force 2.0 mm pre-travel 4.0 mm total travel PCB mount 5pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_c2179475-2576-4631-93db-081fd4536521_1200x1200.jpg?v=1652152717,$1.90,True,10 switches per pack,
42,42,KBDFans,https://kbdfans.com/collections/switches/products/dz60-cnc-aluminum-60-plate-a,DZ60 CNC Aluminum 60% Plate A,Plate-A（left shift is 2U）It's not compatible with DZ60RGB v2/ DZ60RGB-ANSI PCB  TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Danish Japanese Spanish Dutch Klingon Swe,http://cdn.shopify.com/s/files/1/1473/3902/products/A_2_e5ff079f-0148-489d-a387-56b52a665299_1200x1200.jpg?v=1667437593,$9.90,True,,
43,43,KBDFans,https://kbdfans.com/collections/switches/products/gateron-pro-pre-lubed-silver-linear-switches?_pos=8&_fid=1c00d4e42&_ss=c,GATERON Pro Pre-lubed Silver Linear Switches,Specs Factory lubed switches Silver Linear Two-stage switch springs Plate mount 3 pins  Actuation：35 gf Bottom-out: 45±5 gf Pre-travel：1.2±0.3 mm Total travel：3.4-0.4 mm lifetime: 80 million MX stem Gateron Pro Silver Sound Test TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw ,http://cdn.shopify.com/s/files/1/1473/3902/products/1_64bddc87-15ae-4627-a057-4757e5940505_1200x1200.jpg?v=1653368590,$9.90,True,35 switches per pack,
44,44,KBDFans,https://kbdfans.com/collections/switches/products/ncr-v2-switches?_pos=24&_fid=1c00d4e42&_ss=c,TTC NCR-V2 Linear Switches,"Specs Linear 3pins, plate mount Bottom out: 62gf Pre-travel: 2.0±0.6mm Total travel: 4.0±0.3mm Spring: Gold plated spring Top housing: PC Bottom housing: Nylon  Stem: POM",http://cdn.shopify.com/s/files/1/1473/3902/products/1_2c6f15de-6510-4679-ac52-86375e0fe11f_1200x1200.jpg?v=1650607772,$6.50,True,10 switches per pack,
45,45,KBDFans,https://kbdfans.com/collections/switches/products/cherry-rgb-red-linear-switches?_pos=21&_fid=1c00d4e42&_ss=c,Cherry RGB Red Linear Switches,SPECS Linear 45 cN operating force 2.0 mm pre travel 4.0 mm total travel Plate mount 3pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/RGB_1_161f8ed8-58b6-4914-9773-912220060c65_1200x1200.jpg?v=1651651574,$3.80,True,10 switches per pack,
46,46,KBDFans,https://kbdfans.com/collections/switches/products/cherry-mx-black-hyperglide-pcb-mount-switches?_pos=39&_fid=1c00d4e42&_ss=c,Cherry MX Black Hyperglide Liner Switches,Cherry MX Black Specs Linear Hyperglide 60 cN operating force 2.0 mm pre-travel 4.0 mm total travel PCB mount 5 pin MX stem Quantity 1 = 10 switches Hand-Lubed Switches Hand lubed by KBDfans Springs lubed with Krytox GPL105 lubricant Four sides of the stem lubed with Krytox GPL205 G0 lubricant Quantity 1 = 10 switches ,http://cdn.shopify.com/s/files/1/1473/3902/products/1_f92f84fa-2478-4699-a83e-0c9815231f33_1200x1200.jpg?v=1646024528,$3.00,True,10 switches per pack,
47,47,KBDFans,https://kbdfans.com/collections/switches/products/gateron-pro-2-0-red-linear-switches?_pos=6&_fid=1c00d4e42&_ss=c,Gateron Pro 2.0 Red Linear Switches,"Specs Factory lubed, less rebound sound, more stability, Oxidation resistant alloy contact point, brighter light transmission Red (KS-9) Linear Plate mount 3pins Operating force: 45±15 gf Bottom out: 50g Pre-travel: 2.0±0.6 mm Total travel: 4.0±0.4 mm Spring length: 20.5 mm MX stem  ",http://cdn.shopify.com/s/files/1/1473/3902/products/2_04a18c99-4009-457a-a7a7-d83533f9a25f_1200x1200.jpg?v=1660196517,$8.05,True,35 switches per pack,
48,48,KBDFans,https://kbdfans.com/collections/switches/products/zeal-zealios-v2-switches?_pos=23&_fid=1c00d4e42&_ss=c&variant=40213112062091,ZEAL Zealios V2 Tactile switches,"SPECS Manufactory: Gateron  Brand: Zeal PC Zealios v2- 62g -Tactile,Mx switch, Bottom out:62g, PCB mount 5-pin,POM stem,PC housing Zealios v2- 65g -Tactile,Mx switch, Bottom out:65g, PCB mount 5-pin,POM stem,PC housing Zealios v2- 67g -Tactile,Mx switch, Bottom out:67g, PCB mount 5-pin,POM stem,PC housing Zealios v2- 7",http://cdn.shopify.com/s/files/1/1473/3902/products/1_2e21b4cb-897c-49fa-8a62-c698c5806f79_1200x1200.jpg?v=1650609235,$11.00,True,10 switches per pack,
49,49,KBDFans,https://kbdfans.com/collections/switches/products/pre-lubed-switches?_pos=46&_fid=1c00d4e42&_ss=c,KBDfans Pre-lubed Switches,"It is sold as one pack of x10 switches, lubed by KBDfans Q: Which kind of lube we use?A: Krytox GPL105: lube the spring.    Krytox AUT2045+GPL105 Mix（7:3): lube the switches and stabilizers. Q: Which parts we lube? Spring: overall lubrication Stem: around the stem Stem legs Q: The disclaimer for our lube serviceA: In g",http://cdn.shopify.com/s/files/1/1473/3902/products/fb86a850761ea8d752f4d4487c9840fb_1200x1200.jpg?v=1644997187,$12.50,True,10 switches per pack,
